Month,SilverPrice,GoldPrice,,,,
Mar-97,186.48,12619.24,,,,
Apr-97,170.65,12338.59,,,,
May-97,170.44,12314.94,,,,0.95
Jun-97,169.96,12202.78,,,,
Jul-97,155.8,11582.07,,,,
Aug-97,162.16,11640.38,,,,0.95
Sep-97,172.13,11755.57,,,,
Oct-97,181.57,11769.89,,,,
Nov-97,187.99,11370.19,,,,
Dec-97,224.16,11324.79,,,,
Jan-98,230.08,11378.25,,,,
Feb-98,261.75,11576.23,,,,
Mar-98,243.81,11690.84,,,,
Apr-98,249.37,12225.02,,,,
May-98,225.54,12075.24,,,,
Jun-98,222.24,12349.86,,,,
Jul-98,232.46,12450.03,,,,
Aug-98,220.73,12142.73,,,,
Sep-98,213.74,12287.69,,,,
Oct-98,211.8,12531.16,,,,
Nov-98,211.21,12463.97,,,,
Dec-98,207.96,12412.18,,,,
Jan-99,219.44,12203.2,,,,
Feb-99,235.52,12203.06,,,,
Mar-99,220.61,12135.19,,,,
Apr-99,217.57,12075.25,,,,
May-99,226.61,11823.6,,,,
Jun-99,219.02,11272.2,,,,
Jul-99,226.31,11084.77,,,,
Aug-99,230.06,11155.98,,,,
Sep-99,229.82,11526.3,,,,
Oct-99,235.38,13502.09,,,,
Nov-99,225.32,12723.39,,,,
Dec-99,226.61,12309.24,,,,
Jan-00,227.98,12382.68,,,,
Feb-00,231,13077.75,,,,
Mar-00,222.37,12483.33,,,,
Apr-00,222.72,12205.39,,,,
May-00,221.88,12100.23,,,,
Jun-00,225.78,12769.55,,,,
Jul-00,224.71,12609.06,,,,
Aug-00,225.15,12541.03,,,,
Sep-00,226.92,12558.9,,,,
Oct-00,226.27,12515.53,,,,
Nov-00,220.78,12444.55,,,,
Dec-00,218.04,12690.44,,,,
1-Jan,218.83,12355.9,,,,
2-Jan,217.59,13606.99,,,,
3-Jan,232.76,17104.25,,,,
4-Jan,289.57,18806.25,,,,
5-Jan,291.23,18554.21,,,,
6-Jan,407.79,24413.14,,,,
7-Jan,570.48,27985.57,,,,
8-Jan,632.29,35025.78,,,,
9-Jan,556.73,41938.42,,,,
10-Jan,815.23,51344.51,,,,
11-Jan,1293.84,61743.4,,,,
12-Jan,1570.17,84732.63,,,,
13-Jan,1687.06,90803.41,,,,
14-Jan,1234.87,77312.91,,,,
15-Jan,1070.97,77715.8,,,,
16-Jan,949.24,73882.06,,,,
17-Jan,1151.15,81191.05,,,,
1-Feb,212.75,12181.9,,,,
2-Feb,216.57,14388.34,,,,
3-Feb,223.45,17135.72,,,,
4-Feb,293.23,18329.5,,,,
5-Feb,308.92,18490.66,,,,
6-Feb,422.09,24603.51,,,,
7-Feb,615.88,29356.7,,,,
8-Feb,701.87,36642.46,,,,
9-Feb,661.39,46416.55,,,,
10-Feb,735.29,50745.87,,,,
11-Feb,1399.04,62486.08,,,,
12-Feb,1678.47,85781.78,,,,
13-Feb,1629.97,87471.13,,,,
14-Feb,1298.32,80943.59,,,,
15-Feb,1041.26,76113.23,,,,
16-Feb,1035.04,81857.57,,,,
17-Feb,1203.35,82818.17,,,,
1-Mar,205.1,12262.59,,,,
2-Mar,222.74,14332.32,,,,
3-Mar,216.64,16224.16,,,,
4-Mar,328.37,18306.02,,,,
5-Mar,317.53,18954.91,,,,
6-Mar,461.44,24776.99,,,,
7-Mar,579.5,28832.08,,,,
8-Mar,775.49,39082.77,,,,
9-Mar,672.41,47387.48,,,,
10-Mar,780.5,50654.61,,,,
11-Mar,1611.23,64031.82,,,,
12-Mar,1658.3,84338.83,,,,
13-Mar,1565.88,86644.52,,,,
14-Mar,1262.99,81456.73,,,,
15-Mar,1014.19,73605.25,,,,
16-Mar,1037.05,83496.73,,,,
17-Mar,1162.15,81169.45,,,,
